Id,Question
1,"Do you and your partner accept each other for who you are, without trying to change each other?"
2,"When disagreements arise, do you and your partner communicate respectfully and without contempt or negativity?"
"
3,"Do you and your partner share decision-making, power and influence in the relationship?"
"
4,"Is your partner your best friend, and are you theirs?"
"
5,"Do you and your partner think more in terms of 'we' and 'us,' rather than 'you' and ‘I'?"
"
6,"Would you and your partner trust each other with the passwords to social media and bank accounts?"
7,"Do you and your partner have good opinions of each other – without having an overinflated positive view?"
"
8,"Do your close friends, as well as your partner’s, think you have a great relationship that will stand the test of time?"
"
9,"Is your relationship free of red flags like cheating, jealousy and controlling behaviour?"
10,"Do you and your partner share the same values when it comes to politics, religion, the importance of marriage, the desire to have kids (or not) and how to parent?"
"
11,"Are you and your partner willing to sacrifice your own needs, desires and goals for each other (without being a doormat)?"
"
12,"Do you and your partner both have agreeable and emotionally stable personalities?"
"
13,"Are you and your partner sexually compatible?"
,
,
,
,
,
,
